repeat,fold,target,arm,n,f1_macro,balanced_accuracy,cohen_kappa,quadratic_kappa,auroc_ovr_macro
3,3,carb_sensitivity,rules,39682,0.31695624711595577,0.41961595450937267,0.0863007343987433,0.1682874101294688,
3,4,sodium_sensitivity,tabnet,32382,0.3855083533212314,0.5111382302766128,0.16966540008067565,0.2224730636362673,0.7493144002370661
3,4,sodium_sensitivity,rules,32382,0.36777330085841237,0.4529041533846054,0.12358140881656321,0.19851115088353422,
3,4,potassium_sensitivity,tabnet,39515,0.4181724739746193,0.48416252401292237,0.1777193903715597,0.25279181522711747,0.7189382425158781
3,4,potassium_sensitivity,rules,39515,0.3875054986591268,0.46509263152999303,0.13449027194133745,0.22677010913426798,
3,4,protein_restriction,tabnet,39402,0.3908593439374434,0.4812214191055933,0.15925577312731898,0.08072097507051712,0.6841524359128294
3,4,protein_restriction,rules,39402,0.3219331138487708,0.36540426399551995,0.10069293649538924,0.16241166981551136,
3,4,carb_sensitivity,tabnet,39290,0.4965221219312106,0.5264484123587109,0.3077474507059259,0.42464876682569275,0.7727284435964882
3,4,carb_sensitivity,rules,39290,0.3206347547343462,0.4267443864836571,0.09288177930874775,0.1761612443520899,
4,0,sodium_sensitivity,tabnet,31699,0.3928810841827349,0.5117207426437435,0.17667969009563755,0.22293754879838468,0.7483593941553658
4,0,sodium_sensitivity,rules,31699,0.361157176328511,0.44560526110504095,0.11593068867439094,0.19044402172614605,
4,0,potassium_sensitivity,tabnet,38993,0.4154872375819039,0.48517461622921604,0.1733851883630143,0.24259379979874518,0.7205419337645705
4,0,potassium_sensitivity,rules,38993,0.3877873030758352,0.46354765780861795,0.1324956745527549,0.22817789705328462,
4,0,protein_restriction,tabnet,38882,0.3802451686097785,0.4949921283517323,0.1436604458934545,0.06604572055923186,0.6895698120527026
4,0,protein_restriction,rules,38882,0.3229381420976141,0.361603128501965,0.09723731621709153,0.15566575829646812,
4,0,carb_sensitivity,tabnet,38766,0.49732051832872504,0.5294037338450265,0.3071120631216947,0.43229350643330344,0.7735734063967629
4,0,carb_sensitivity,rules,38766,0.3175100492865888,0.42538213442497685,0.08923203848908223,0.17147079258973708,
4,1,sodium_sensitivity,tabnet,32464,0.38378090427746286,0.5135100108615868,0.1657114020141215,0.20988068036345775,0.7428443315760349
4,1,sodium_sensitivity,rules,32464,0.3669650341479152,0.4521707495458677,0.11683151237557421,0.18699836937131653,
4,1,potassium_sensitivity,tabnet,39629,0.4190446018076844,0.4811978230410885,0.1772997670683757,0.26105775581344437,0.7187061214786293
4,1,potassium_sensitivity,rules,39629,0.38413782226037557,0.46180498582055235,0.13138600211345464,0.22383964438144088,
4,1,protein_restriction,tabnet,39511,0.39162267606740137,0.4848371219396408,0.1587618769689385,0.08031142508254197,0.6793915087048815
4,1,protein_restriction,rules,39511,0.32063763247546956,0.3559714155324593,0.096089188796457,0.15267752454432082,
4,1,carb_sensitivity,tabnet,39384,0.48859145840206786,0.5294498462890919,0.30159385585880905,0.4230050142792027,0.7747520723244642
4,1,carb_sensitivity,rules,39384,0.3212220915165316,0.4295624647525684,0.0923374828213348,0.1732903304151252,
4,2,sodium_sensitivity,tabnet,33109,0.39916793634532466,0.516217995463603,0.18527806059555862,0.22042565417224425,0.752709356877466
4,2,sodium_sensitivity,rules,33109,0.3813138471883957,0.4665378710027987,0.12437428434102915,0.20308290987880884,
4,2,potassium_sensitivity,tabnet,40066,0.42366420202287575,0.4855325589808075,0.1834021260379205,0.26846099538724566,0.727569645285069
4,2,potassium_sensitivity,rules,40066,0.38575623967240497,0.46924103091816693,0.13533383681071598,0.2281848211468419,
4,2,protein_restriction,tabnet,39969,0.3776192222589995,0.48366394507011545,0.14386627895096427,0.06286538526520413,0.6829561449285081
4,2,protein_restriction,rules,39969,0.31918851425651457,0.36255958261183635,0.09543361496333891,0.15872346679117466,
4,2,carb_sensitivity,tabnet,39844,0.5084694530219421,0.5382768108194479,0.3148911786082502,0.4411365022011282,0.7767250498848398
4,2,carb_sensitivity,rules,39844,0.3175290651648668,0.4277252766889686,0.09003660154286808,0.17260000434962774,
4,3,sodium_sensitivity,tabnet,31825,0.38627725154345366,0.5139847804252257,0.1663188621742815,0.20575878000289372,0.7466199834769945
4,3,sodium_sensitivity,rules,31825,0.36510359772904155,0.45224475656599944,0.1139749566873346,0.1862303951241765,
4,3,potassium_sensitivity,tabnet,39309,0.41207125418789836,0.4825270075471666,0.16520807490065326,0.23810791218824323,0.7179269296398726
4,3,potassium_sensitivity,rules,39309,0.3869193727856044,0.4670192594223464,0.13382851173188337,0.2162544195088434,
4,3,protein_restriction,tabnet,39225,0.38701508923990785,0.4846066911408773,0.15086443111969983,0.07511476862329924,0.6805307214037107
4,3,protein_restriction,rules,39225,0.32058331789405964,0.3578900684452955,0.09325504886502456,0.15217738221276356,
4,3,carb_sensitivity,tabnet,39099,0.5012849058609123,0.5311217409285737,0.3056935542174267,0.4402575245800052,0.7719277527059675
4,3,carb_sensitivity,rules,39099,0.31690607396320464,0.42271128889489235,0.08805673409463721,0.17055062681880062,
4,4,sodium_sensitivity,tabnet,32765,0.4030732139264788,0.5156095096029017,0.18120650463004406,0.24144730132509395,0.7562225903380946
4,4,sodium_sensitivity,rules,32765,0.3703098789173709,0.4573752864220246,0.12470342364148401,0.1951624648350544,
4,4,potassium_sensitivity,tabnet,39677,0.4186247415119415,0.47724675659084753,0.1764646066816149,0.25408813842954314,0.7206432591832578
4,4,potassium_sensitivity,rules,39677,0.3855944036029714,0.46064581660453136,0.1322093437571703,0.2231857246252329,
4,4,protein_restriction,tabnet,39551,0.38230078125054306,0.4766131103113511,0.1509814924918751,0.07583780733752554,0.6751242283935509
4,4,protein_restriction,rules,39551,0.3152805225414633,0.3543535085436437,0.08883085424148196,0.14545056171692627,
4,4,carb_sensitivity,tabnet,39461,0.49156236111170976,0.5261187124885972,0.3029968666325513,0.42986122709514407,0.7726804048037095
4,4,carb_sensitivity,rules,39461,0.32206578074193243,0.42312739613785366,0.0917639860071563,0.1717715133411417,
